Title,Location,Company,Latitud,Longitud
"aprendiz universitario en ingenieria de software, ingenieria en analitica de datos, afines (35639)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (36097)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, afines (36067)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (35633)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria de software, carreras afines (36101)",colombia,bancolombia,4.570868,-74.297333
auxiliar de sistemas,"bogota, d.c., capital district, colombia",multiempleos s.a.,4.710988599999999,-74.072092
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (35595)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (35342)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (35581)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (35600)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (35576)",colombia,bancolombia,4.570868,-74.297333
aprendiz universitario en ingenieria de sistemas o ingenieria informatica (35191),colombia,bancolombia,4.570868,-74.297333
analista de desarrollo sql junior,"medellin, antioquia, colombia",complementos humanos,6.2476376,-75.56581530000001
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (35577)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (35580)",colombia,bancolombia,4.570868,-74.297333
analista jr de continuidad de negocio,"bogota, d.c., capital district, colombia",uala,4.710988599999999,-74.072092
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (35579)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, estadistica (35852)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria de software, carreras afines (35848)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, carreras afines (35574)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria financiera, ingenieria de sistemas, carreras afines (35564)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica, afines (35575)",colombia,bancolombia,4.570868,-74.297333
"aprendiz universitario en ingenieria de sistemas, ingenieria informatica (35254)",colombia,bancolombia,4.570868,-74.297333
analista junior de proyectos tecnologia,"palmira, valle del cauca, colombia",organizacion carvajal,3.5379718,-76.2971657
tu primer empleo en google cloud,"sevilla, valle del cauca, colombia",accenture colombia,4.2743779,-75.931004
analista de procesos y sistemas de informacion | sabaneta ant,"sabaneta, antioquia, colombia",organizacion corona,6.1504856,-75.61687859999999
20806-analista soporte tic soporte nivel 2,"bogota, d.c., capital district, colombia",colombiana de comercio / corbeta / alkosto s.a,4.710988599999999,-74.072092
aprendiz tecnico o tecnologo en sistemas o afines (30754),colombia,bancolombia,4.570868,-74.297333
auxiliar soporte tecnico - nivel 1,"bogota, d.c., capital district, colombia",cesde institucion educativa,4.710988599999999,-74.072092
aprendiz de sistemas o informatica - carrera tecnica o tecnologia,"cali, valle del cauca, colombia",coomeva,3.4516467,-76.5319854
21002-tecnico de soporte nivel 1,"bogota, d.c., capital district, colombia",colombiana de comercio / corbeta / alkosto s.a,4.710988599999999,-74.072092
analista implementacion soluciones - conectividad,"cali, valle del cauca, colombia",arus oficial,3.4516467,-76.5319854
pasantia academica tecnologia sura- octubre 2023,colombia,"seguros, tendencias y riesgos sura",4.570868,-74.297333
analista de pruebas,"bogota, d.c., capital district, colombia",ada s.a.,4.710988599999999,-74.072092
20757-tecnico de soporte nivel 1,"bogota, d.c., capital district, colombia",colombiana de comercio / corbeta / alkosto s.a,4.710988599999999,-74.072092
20501-tecnico de soporte nivel 1,"bogota, d.c., capital district, colombia",colombiana de comercio / corbeta / alkosto s.a,4.710988599999999,-74.072092
20756-tecnico de soporte nivel 1,"bogota, d.c., capital district, colombia",colombiana de comercio / corbeta / alkosto s.a,4.710988599999999,-74.072092
docente informatica/sistemas,"cali, valle del cauca, colombia",colegio ecologico scout,3.4516467,-76.5319854
tecnologo en sistemas- medellin,"medellin, antioquia, colombia",soluciones inmediatas s.a.s,6.2476376,-75.56581530000001
analista de calidad software,"medellin, antioquia, colombia",arus oficial,6.2476376,-75.56581530000001
20755-tecnico de soporte nivel 1,"bogota, d.c., capital district, colombia",colombiana de comercio / corbeta / alkosto s.a,4.710988599999999,-74.072092
director de it (sector fintech),"bogota, d.c., capital district, colombia",acierta headhunter,4.710988599999999,-74.072092
ingeniero de datos,"bogota, d.c., capital district, colombia",banco union,4.710988599999999,-74.072092
analista de sistemas - medellin,"medellin, antioquia, colombia",eficacia,6.2476376,-75.56581530000001
auxiliar de soporte cali - 49785,"cali, valle del cauca, colombia",magneto empleos,3.4516467,-76.5319854
pasantia academica tecnologia sura- octubre 2023,"guainia, colombia","seguros, tendencias y riesgos sura",2.585393,-68.52471489999999
pasantia academica tecnologia sura- octubre 2023,cucuta metropolitan area,"seguros, tendencias y riesgos sura",7.898283200000001,-72.5086511
ingeniero de datos,"barranquilla, atlantico, colombia",banco union,11.0041072,-74.80698129999999
analista administrativo,"bogota, d.c., capital district, colombia",staffing de colombia,4.710988599999999,-74.072092
pasantia academica tecnologia sura- octubre 2023,"vichada, colombia","seguros, tendencias y riesgos sura",4.4234452,-69.2877535
recepcionista,"bogota, d.c., capital district, colombia",grupo alianza - gestion efectiva del talento humano,4.710988599999999,-74.072092
pasantia academica tecnologia sura- octubre 2023,"neiva, huila, colombia","seguros, tendencias y riesgos sura",2.9344837,-75.2809001
capacitador / formador,"bogota, d.c., capital district, colombia",tecnologia informatica,4.710988599999999,-74.072092
ingeniero de datos,"medellin, antioquia, colombia",banco union,6.2476376,-75.56581530000001
pasantia academica tecnologia sura- octubre 2023,"villavicencio, meta, colombia","seguros, tendencias y riesgos sura",4.1491688,-73.6285475
desarollador web,"bogota, d.c., capital district, colombia",ada s.a.,4.710988599999999,-74.072092
ingeniero(a) de datos,"capital district, colombia",ntt data europe & latam,4.710988599999999,-74.072092
pedagogo de convenio jec- ciencia y tecnologia,"bogota, d.c., capital district, colombia",compensar,4.710988599999999,-74.072092
analista de sistemas,"bogota, d.c., capital district, colombia",ada s.a.,4.710988599999999,-74.072092
pasantia academica tecnologia sura- octubre 2023,"san jose del guaviare, guaviare, colombia","seguros, tendencias y riesgos sura",2.5677606,-72.6396535
ingeniero de datos,"cali, valle del cauca, colombia",banco union,3.4516467,-76.5319854
analista junior qa,"bogota, d.c., capital district, colombia",ccxc - consulting center for competitiveness,4.710988599999999,-74.072092
docente de informatica,"bogota, d.c., capital district, colombia",reclutapro colombia,4.710988599999999,-74.072092
tecnico de soporte- python,"palmira, valle del cauca, colombia",organizacion carvajal,3.5379718,-76.2971657
ingeniero de datos,"pereira, risaralda, colombia",banco union,4.8087174,-75.690601
jr web developer,"bogota, d.c., capital district, colombia",abcw global,4.710988599999999,-74.072092
pasantia academica tecnologia sura- octubre 2023,"bucaramanga, santander, colombia","seguros, tendencias y riesgos sura",7.119349,-73.1227416
practicante de sistemas,"giron, santander, colombia",metalteco,7.080333899999999,-73.171039
desarrollador de base de datos,"bogota, d.c., capital district, colombia",ada s.a.,4.710988599999999,-74.072092
pasantia academica tecnologia sura- octubre 2023,"quibdo, choco, colombia","seguros, tendencias y riesgos sura",5.695633,-76.649812
pasantia academica tecnologia sura- octubre 2023,"tunja, boyaca, colombia","seguros, tendencias y riesgos sura",5.5446422,-73.3575572
"gestor de problemas ti - itil - bogota, colombia","bogota, d.c., capital district, colombia",kibernum,4.710988599999999,-74.072092
pasantia academica tecnologia sura- octubre 2023,"medellin, antioquia, colombia","seguros, tendencias y riesgos sura",6.2476376,-75.56581530000001
analista de seguridad informatica nivel 1,"bogota, d.c., capital district, colombia",mercanet sas,4.710988599999999,-74.072092
analista de soporte tecnico - sql,"medellin, antioquia, colombia",e-global s.a.,6.2476376,-75.56581530000001
practicante de informatica,"cali, valle del cauca, colombia",travel center group sas,3.4516467,-76.5319854
analista de sistemas e infraestructura - medellin,"medellin, antioquia, colombia",soluciones inmediatas s.a.s,6.2476376,-75.56581530000001
asistente tecnico de programa para soluciones digitales,"bogota, d.c., capital district, colombia",world food programme,4.710988599999999,-74.072092
pasantia academica tecnologia sura- octubre 2023,"barranquilla, atlantico, colombia","seguros, tendencias y riesgos sura",11.0041072,-74.80698129999999
analista mesa de servicio,"medellin, antioquia, colombia",grupo reditos,6.2476376,-75.56581530000001
20451-lider de soporte tic,"bogota, d.c., capital district, colombia",magneto empleos,4.710988599999999,-74.072092
pasantia academica tecnologia sura- octubre 2023,"yopal, casanare, colombia","seguros, tendencias y riesgos sura",5.348903,-72.40052299999999
auxiliar de centro de computo,"medellin, antioquia, colombia",leonisa s.a.,6.2476376,-75.56581530000001
pasantia academica tecnologia sura- octubre 2023,"cali, valle del cauca, colombia","seguros, tendencias y riesgos sura",3.4516467,-76.5319854
pasantia academica tecnologia sura- octubre 2023,"valledupar, cesar, colombia","seguros, tendencias y riesgos sura",10.4742449,-73.2436335
analista de soluciones empresariales,colombia,lpa colombia,4.570868,-74.297333
pasantia academica tecnologia sura- octubre 2023,"perimetro urbano ibague, tolima, colombia","seguros, tendencias y riesgos sura",4.4428453,-75.23994739999999
pasantia academica tecnologia sura- octubre 2023,"popayan, cauca, colombia","seguros, tendencias y riesgos sura",2.4448143,-76.6147395
